 SR NO.,CUSTOMER NAME,MATERIAL TYPE,PART SIZE,CUSTOMER PART CODE,UOM,RECIVED QTY,DISPATCH QTY,BALANCE QTY,STOCK IN KG PER PIC,STOCK IN KG ,,
111,BOSCH,LD BAG,140 X 480 X 810,,KGS,12667.5,9949.5,2718,1,2718,,
112,BOSCH,LD PRINT,12 X 13 X 300,,PCS,15100,15100,0,,,,
,BOSCH,LD PRINT,410 X 610 X 220,,PCS,21858,21858,0,,,,
,BOSCH,LD PRINT,700 X 700 X 208,,PCS,3850,3850,0,,,,
,BOSCH,LD PRINT,305 X 700 X 208,,PCS,35510,35510,0,,,,
,BOSCH,LD PRINT,420 X 965 X 208,,PCS,26900,26900,0,,,,
113,BSC,VCI BAG,10 X 14,,PCS,0,,0,0.009,0,,
114,C & S,VCI BAG,9 X 12 X 352,,PCS,10695,3750,6945,0.012,83.34,ok,
115,C & S,VCI BAG,90 X 90 X 300 ( YELLOW),POLY0036,PCS,567500,512600,54900,0.00135,74.115,ok,
116,C & S,VCI BAG,100 X 120 75 MIC ( YELLOW),POLY1021,PCS,170370,168520,1850,0.00161,2.9785,ok,
,C & S,VCI BAG,100 X 120 75 MIC ( BLUE),,PCS,32100,18000,14100,,,,
117,C & S,VCI BAG BLUE,6 X 8,CNB6104168,PCS,22000,22000,0,0.0004,0,ok,
118,C & S,VCI BAG,20 X 25 X 352,CNB6104166,PCS,5060,2150,2910,0.0544,158.304,ok,
119,C & S,VCI BAG,230 X 285  YELLOW,POLY0034,PCS,27220,4000,23220,0.00975,226.395,ok,
120,C & S,VCI BAG YELLOW,170 X 255 75 MIC,,PCS,18050,,18050,0.006,108.3,ok,
121,C & S,VCI BAG,280 X 305 x 300,,PCS,11990,4000,7990,0.009,71.91,ok,
122,C & S,VCI BAG,25 X 35 X 320,cCNB6104167,PCS,2500,,2500,0.041824,104.56,ok,
123,C & S,VCI BAG,13 X 15,CNB61041162,PCS,16290,14706,1584,0.0215,34.056,ok,
124,C & S,VCI BAG YELLOW,150 X 170 X 300,POLY0017,PCS,447560,433710,13850,0.009188,127.2538,ok,
125,C & S,VCI BAG BLUE,150 X 170 X 300,POLY1145,PCS,28000,2000,26000,0.004168,108.368,ok,
126,C & S,VCI SHEET,485 X 335,POLY0163,PCS,31750,28700,3050,0.023,70.15,ok,
127,C & S,VCI BLUE PLAIN BAG,230 X 285 75 MIC  BLUE,POLY1148,PCS,19475,6000,13475,0.00975,131.38125,ok,
