ITEMCODE,ITEMNAME,IT_PARTNO,IT_PARTNAME,UOM
IC-1.VBDS.VBDS.004946,ADARSHAVB1300/VCI Bag/1300 x 1150 x 1500 MM SFG,ADARSHAVB1300,VCI Bag,PCS
IC-1.VBDS.VBDS.004947,ADARSHAVB1320/VCI Bag/1320 x 1120 MM SFG,ADARSHAVB1320,VCI Bag,PCS
IC-1.VBDS.VBDS.004948,ADARSHAVB300/VCI Bag/400 X 300 X 400 MM SFG,ADARSHAVB300,VCI Bag,PCS
IC-1.AUB.AUB.004865,ASD,,ASD,BOX
IC-1.AUB.AUB.004866,ERT,,ERT,PCS
IC-1.VBDS.VBDS.005067,TALBRVB350/VCI Bag/400 X 350 X 400 MM SFG,TALBRVB350,VCI Bag,PCS
IC-1.VBDS.VBDS.005068,TALBRVB440/VCI Bag/640 X 440 X 325 mm SFG,TALBRVB440,VCI Bag,PCS
IC-1.VBDS.VBDS.005069,TALBRVB46/VCI Bag/4 X 6 SFG,TALBRVB46,VCI Bag,PCS
IC-1.VBDS.VBDS.005070,TALBRVB600/VCI Bag/600 X 350 X 300 mm SFG,TALBRVB600,VCI Bag,PCS
IC-1.VBDS.VBDS.005071,KALPAVB15/VCI Bag/810 X  760  X 900mm SFG,KALPAVB15,VCI Bag,PCS
IC-1.VBDS.VBDS.005072,ALPHAVB114/VCI Bag/1140 x 980 x 850 MM SFG,ALPHAVB114,VCI Bag,PCS
IC-1.VBDS.VBDS.005073,ALPHAVB400/VCI Bag/400 (Open) x 350 MM SFG,ALPHAVB400,VCI Bag,PCS
IC-1.VBDS.VBDS.005074,ALPHAVB480/VCI Bag/480 x 380 x 380 MM SFG,ALPHAVB480,VCI Bag,PCS
IC-1.VBDS.VBDS.005075,ALPHAVB9/VCI Bag/9 X 12 MM SFG,ALPHAVB9,VCI Bag,PCS
IC-1.VBDS.VBDS.005076,AMALVB10.5/VCI Bag/10.5 X 12.5 MM SFG,AMALVB10.5,VCI Bag,PCS
IC-1.VBDS.VBDS.005077,AMALVB280/VCI Bag/280 X 280 MM SFG,AMALVB280,VCI Bag,PCS
IC-1.VBDS.VBDS.005078,AMALVB330/VCI Bag/330 X 380 MM SFG,AMALVB330,VCI Bag,PCS
IC-1.VBDS.VBDS.005079,PALSHVB16/VCI Bag/8 X 16 INCH SFG,PALSHVB16,VCI Bag,PCS
IC-1.VBDS.VBDS.005080,QHTALVB08/VCI Bag/5 X 8 INCH SFG,QHTALVB08,VCI Bag,PCS
IC-1.VBDS.VBDS.005081,QHTALVB09/VCI Bag/6 X 9 INCH SFG,QHTALVB09,VCI Bag,PCS
IC-1.VBDS.VBDS.005082,"QHTALVB11/VCI Bag/11"" SFG",QHTALVB11,VCI Bag,PCS
IC-1.VBDS.VBDS.005083,QHTALVB12/VCI Bag/4.5 X 12 INCH SFG,QHTALVB12,VCI Bag,PCS
IC-1.VBDS.VBDS.005084,QHTALVB121/VCI Bag/12 X 10 X 10 INCH SFG,QHTALVB121,VCI Bag,PCS
IC-1.VBDS.VBDS.005085,QHTALVB13/VCI Bag/13.5 X 7 X 9 INCH SFG,QHTALVB13,VCI Bag,PCS
